sku,title,price,product_type,tags
PPF-DBELL-01,PowerFlex Adjustable Dumbbell Set — 5-in-1 Space-Saving Weights (Pair),179.00,Strength Equipment,"strength training,muscle building,home gym,home workout,best seller"
PPF-BANDS-11,FlexCore Resistance Bands Set — 11-Piece Home Workout System,59.00,Strength Equipment,"strength training,home workout,home gym,calisthenics,best seller"
PPF-BOOTY-3,SculptBands Fabric Booty Bands — Non-Slip Hip Resistance Set (3-Pack),45.00,Strength Equipment,"strength training,home workout,home gym"
PPF-JUMP-01,PulsePro Smart Jump Rope — Digital Counter Cordless Cardio Trainer,59.00,Cardio Equipment,"cardio,HIIT,jump rope,home workout,best seller"
PPF-MGUN-01,RecoverPro Percussion Massage Gun — Deep Tissue Muscle Recovery,149.00,Recovery Equipment,"muscle recovery,post-workout recovery,gym accessories,best seller"
PPF-ROLL-01,DeepRoll High-Density Foam Roller — Trigger Point Muscle Recovery,49.00,Recovery Equipment,"foam roller,muscle recovery,post-workout recovery,home workout"
PPF-ABROLL-01,CoreMax Ab Roller Wheel Kit — Automatic Rebound Core Trainer,49.00,Strength Equipment,"home workout,home gym,strength training,calisthenics"
PPF-YOGA-01,ZenFlex Non-Slip Yoga Mat — Eco TPE 6mm with Carry Strap,79.00,Yoga & Mobility,"home workout,home gym,yoga"
PPF-PUSH-01,PushPro Adjustable Push-Up Board System — Color-Coded Sculpt Trainer,59.00,Strength Equipment,"home workout,home gym,strength training,calisthenics"
PPF-PULL-01,IronGrip Doorway Pull-Up Bar — No-Screw Multi-Grip Trainer,69.00,Strength Equipment,"home gym,calisthenics,strength training,home workout"
PPF-WEIGHT-01,FlexWeight Adjustable Ankle & Wrist Weights — 2-6 lb Pair,55.00,Cardio Equipment,"home workout,cardio,strength training,gym accessories"
PPF-GRIP-01,GripForge Adjustable Hand Grip Strengthener Kit (5-Piece),39.00,Gym Accessories,"gym accessories,strength training,calisthenics"
PPF-WATCH-01,PulseTrack Smart Fitness Watch — Heart Rate & Activity Tracker,99.00,Wearable Tech,"gym accessories,cardio,wearable tech,best seller"
PPF-BOTTLE-01,HydraPower Motivational Gym Water Bottle — 2.2L Time Marker Jug,45.00,Gym Accessories,"gym accessories,gym bag essentials,home workout"
PPF-SWEAT-01,SweatShape Waist Trainer Belt — Adjustable Sweat & Core Support,39.00,Gym Accessories,"cardio,home workout,gym accessories"
PPF-POST-01,PosturePro Adjustable Posture Corrector — Back & Shoulder Brace,45.00,Recovery Equipment,"muscle recovery,post-workout recovery,gym accessories"
PPF-PROGRAM-12W,PowerpostFit 12-Week Home Body Transformation Program (Digital Download),39.00,Digital Product,"home workout,digital,best seller"
