timestamp,open,high,low,close,volume
2024-01-01,100.00,101.50,99.20,100.80,12000
2024-01-02,100.80,102.10,100.10,101.90,13500
2024-01-03,101.90,103.00,101.20,102.40,11000
2024-01-04,102.40,102.80,100.50,100.90,15000
2024-01-05,100.90,101.30,98.70,99.10,16500
2024-01-06,99.10,99.80,97.40,98.20,14000
2024-01-07,98.20,100.50,98.00,100.20,17000
2024-01-08,100.20,102.40,100.00,102.10,18500
2024-01-09,102.10,104.00,101.80,103.70,19000
2024-01-10,103.70,105.20,103.10,104.90,20000
2024-01-11,104.90,105.10,102.30,102.80,16000
2024-01-12,102.80,103.40,101.00,101.50,14500
2024-01-13,101.50,103.20,101.20,103.00,15500
2024-01-14,103.00,105.50,102.80,105.10,21000
2024-01-15,105.10,107.00,104.90,106.80,22500
